MD;UpscaledThinLayerRemoval;INSPHASE;AMPCONS;RMS;RAI;FLAT;SWT
5375.4528;1;93.01555634;0.222248122;35304.00391;93343.36719;0.00157835;51596.14453
5375.6052;1;93.7184906;0.222309008;35184.36719;92830.24219;0.00158671;51471.24609
5375.7576;1;94.42142487;0.222369894;35064.73047;92317.10938;0.00159508;51346.34375
5375.91;1;95.12436676;0.222430781;34945.09375;91803.98438;0.00160344;51221.44141
5376.0624;1;95.82730103;0.222491667;34825.45703;91290.85938;0.00161181;51096.53906
5376.2148;1;96.53023529;0.222552553;34705.82031;90777.73438;0.00162017;50971.63672
5376.3672;1;97.23316956;0.222613439;34586.18359;90264.60156;0.00162854;50846.73828
5376.5196;1;97.93610382;0.22267434;34466.54297;89751.47656;0.0016369;50721.83594
5376.672;1;98.63904572;0.222735226;34346.90625;89238.35156;0.00164526;50596.93359
5376.8244;1;99.34197998;0.222796112;34227.26953;88725.22656;0.00165363;50472.03125
5376.9768;1;100.0449219;0.222856998;34107.63281;88212.09375;0.00166199;50347.12891
5377.1292;1;100.7478561;0.222917885;33987.99609;87698.96875;0.00167036;50222.22656
5377.2816;1;101.4507904;0.222978771;33868.35938;87185.84375;0.00167872;50097.32813
5377.434;1;102.1537323;0.223039672;33748.72266;86672.71875;0.00168709;49972.42578
5377.5864;1;102.8566666;0.223100558;33629.08594;86159.58594;0.00169545;49847.52344
5377.7388;1;103.5596008;0.223161444;33509.44922;85646.46094;0.00170382;49722.62109
5377.8912;1;104.2625351;0.22322233;33389.8125;85133.33594;0.00171218;49597.71875
5378.0436;1;104.965477;0.223283216;33270.17578;84620.21094;0.00172055;49472.81641
5378.196;1;105.6684113;0.223344103;33150.53906;84107.07813;0.00172891;49347.91797
5378.3484;1;106.3713455;0.223405004;33030.89844;83593.95313;0.00173728;49223.01563
5378.5008;1;107.0742874;0.22346589;32911.26172;83080.82813;0.00174564;49098.11328
5378.6532;1;107.7772217;0.223526776;32791.625;82567.70313;0.00175401;48973.21094
5378.8056;1;108.4801559;0.223587662;32671.98828;82054.57031;0.00176237;48848.30859
5378.958;1;109.1830902;0.223648548;32552.35156;81541.44531;0.00177074;48723.41016
5379.1104;1;109.8860245;0.223709434;32432.71484;81028.32031;0.0017791;48598.50781
5379.2628;1;110.5889664;0.223770335;32313.07813;80515.1875;0.00178747;48473.60547
5379.4152;1;111.2919006;0.223831222;32193.44141;80002.0625;0.00179583;48348.70313
5379.5676;1;111.9948349;0.223892108;32073.80469;79488.9375;0.0018042;48223.80078
5379.72;1;112.6977768;0.223952994;31954.16602;78975.8125;0.00181256;48098.89844
5379.8724;1;113.4007111;0.22401388;31834.5293;78462.67969;0.00182093;47974
5380.0248;1;114.1111984;0.224076346;31708.97266;77904.03906;0.00183148;47847.32031
5380.1772;1;114.8387451;0.224146888;31552.95508;77111.20313;0.00185327;47711.51172
5380.3296;1;115.5693436;0.224217445;31396.93555;76318.375;0.00187506;47575.69922
